,m,cls
0,"('motor', 'slew', 'position', 'radiator')",0
1,"('mount', 'pipe', 'boom', 'light')",1
2,"('bolt', 'engine', 'fan', 'mount')",1
3,"('engine', 'leak', 'lube', 'fault')",1
4,"('box', 'position', 'slew', 'leak')",0
5,"('line', 'cylinder', 'light', 'box')",0
6,"('air', 'adapter', 'engine', 'exhaust')",1
7,"('position', 'lip', 'light', 'adapter')",0
8,"('hose', 'position', 'service', 'motor')",1
9,"('box', 'position', 'pump', 'fault')",1
10,"('bucket', 'absent', 'pin', 'position')",1
11,"('leak', 'repair', 'fault', 'lube')",1
12,"('engine', 'position', 'fault', 'filter')",1
13,"('valve', 'lube', 'motor', 'slew')",0
14,"('bolt', 'slew', 'replace', 'filter')",0
15,"('radiator', 'lip', 'bucket', 'tooth')",1
16,"('step', 'absent', 'pressure ', 'lube')",0
17,"('engine', 'position', 'right', 'start')",1
18,"('boom', 'cylinder', 'exhaust', 'bolt')",1
19,"('position', 'line', 'replace', 'damage')",1
20,"('bucket', 'line', 'position', 'replace')",1
21,"('engine', 'access', 'mount', 'ring')",1
22,"('boom', 'valve', 'replace', 'seal')",1
23,"('fault', 'motor', 'position', 'bolt')",1
24,"('hose', 'hydraulic', 'loose', 'cylinder')",1
25,"('brake', 'position', 'replace', 'seal')",1
26,"('engine', 'hose', 'boom', 'light')",0
27,"('mount', 'operator_cabin', 'bolt', 'tank')",0
28,"('air', 'engine', 'fan', 'exhaust')",1
29,"('boom', 'valve', 'leak', 'control')",1
30,"('motor', 'fan', 'engine', 'hydraulic')",1
31,"('engine', 'adapter', 'boom', 'pin')",0
32,"('leak', 'tank', 'hydraulic', 'cylinder')",1
33,"('bucket', 'box', 'light', 'moving')",1
34,"('engine', 'position', 'leak', 'drive')",0
35,"('pump', 'damage', 'replace', 'fuel')",1
36,"('boom', 'cylinder', 'box', 'right')",1
37,"('bolt', 'pump', 'pressure ', 'valve')",1
38,"('boom', 'hydraulic', 'line', 'repair')",1
39,"('fitting', 'slew', 'leak', 'filter')",1
40,"('mount', 'pump', 'right', 'seal')",1
41,"('position', 'moving', 'hose', 'pin')",0
42,"('boom', 'cylinder', 'hose', 'seal')",1
43,"('bucket', 'damage', 'tooth', 'shovel_no')",1
44,"('engine', 'leak', 'repair', 'lube')",1
45,"('leak', 'fitting', 'line', 'repair')",1
46,"('hose', 'hydraulic', 'valve', 'replace')",1
47,"('motor', 'right', 'slew', 'service')",0
48,"('slew', 'right', 'mount', 'pump')",0
49,"('engine', 'exhaust', 'bolt', 'air')",1
50,"('boom', 'hose', 'damage', 'lube')",0
51,"('light', 'functional', 'lube', 'leak')",0
52,"('brake', 'right', 'roller', 'service')",0
53,"('position', 'pump', 'switch', 'lube')",0
54,"('leak', 'hose', 'adhesive', 'bolt')",0
55,"('hose', 'damage', 'line', 'lube')",1
56,"('mount', 'step', 'crack', 'repair')",1
57,"('position', 'moving', 'pin', 'cylinder')",1
58,"('bucket', 'tooth', 'position', 'drive')",1
59,"('position', 'replace', 'hydraulic', 'damage')",1
60,"('bucket', 'tooth', 'adapter', 'pump')",0
61,"('boom', 'cylinder', 'bolt', 'air')",1
62,"('boom', 'crack', 'engine', 'hydraulic')",0
63,"('tank', 'fault', 'lube', 'bucket')",1
64,"('position', 'radiator', 'brake', 'right')",0
65,"('boom', 'hydraulic', 'filter', 'crack')",1
66,"('boom', 'light', 'adapter', 'brake')",1
67,"('position', 'tooth', 'adapter', 'pump')",0
68,"('bucket', 'lip', 'coolant', 'bolt')",0
69,"('pump', 'position', 'fan', 'fitting')",1
70,"('position', 'roller', 'track', 'pin')",1
71,"('hose', 'hydraulic', 'tank', 'damage')",1
72,"('adapter', 'pin', 'bolt', 'mount')",1
73,"('adapter', 'pipe', 'coolant', 'engine')",0
74,"('boom', 'repair', 'step', 'access')",1
75,"('switch', 'alarm', 'inspect', 'service')",1
76,"('brake', 'position', 'leak', 'drive')",0
77,"('mount', 'position', 'hose', 'engine')",0
78,"('leak', 'repair', 'replace', 'service')",1
79,"('lip', 'right', 'track', 'replace')",1
80,"('valve', 'slew', 'seal', 'right')",1
81,"('engine', 'position', 'radiator', 'lube')",1
82,"('moving', 'coolant', 'box', 'motor')",1
83,"('boom', 'position', 'valve', 'seal')",1
84,"('fan', 'right', 'brake', 'fitting')",1
85,"('engine', 'position', 'roller', 'box')",1
86,"('valve', 'leak', 'repair', 'control')",1
87,"('engine', 'position', 'leak', 'seal')",1
88,"('motor', 'position', 'pump', 'primary')",1
89,"('bucket', 'damage', 'lube', 'pipe')",0
