,m,cat
0,"('fuel', 'filter', 'hose', 'hyd')",cos
1,"('grease', 'line', 'pump', 'leak', 'stick')",sim
2,"('grease', 'oil', 'pump', 'leak', 'replace')",real
3,"('pressure', 'low', 'coolant', 'clamp')",cos
4,"('coolant', 'leak', 'seal', 'stick')",cos
5,"('hyd', 'oil', 'valve', 'leak', 'stick')",sim
6,"('slew', 'leak', 'stick', 'replace', 'valve')",sim
7,"('bolts', 'fuel', 'left', 'tank', 'replace')",real
8,"('shd', 'tooth', 'missing', 'track', 'stick')",sim
9,"('drive', 'final', 'low', 'coolant')",cos
10,"('bucket', 'leak', 'pipe', 'repair')",cos
11,"('grease', 'line', 'pump', 'servo', 'leak')",sim
12,"('fan', 'motor', 'slew', 'right', 'leak')",sim
13,"('filter', 'hose', 'hyd', 'replace', 'block')",real
14,"('lube', 'pto', 'pump', 'servo', 'changeout')",real
15,"('engine', 'shd', 'lube', 'pto', 'pump')",sim
16,"('line', 'grease', 'pump', 'pto', 'leak')",sim
17,"('box', 'low', 'engine', 'filter')",cos
18,"('bucket', 'tooth', 'missing', 'track')",sim
19,"('shd', 'slew', 'hyd', 'replace')",cos
20,"('bucket', 'tooth', 'lost', 'warranty')",cos
21,"('brake', 'replace', 'filter', 'switch')",cos
22,"('bucket', 'grease', 'hand', 'left', 'line')",real
23,"('drive', 'pressure', 'pump', 'alarm', 'low')",real
24,"('lube', 'oil', 'pto', 'pump', 'leak')",real
25,"('bucket', 'drive', 'oil', 'tooth', 'leak')",real
26,"('engine', 'coolant', 'hose', 'hyd', 'oil')",sim
27,"('pump', 'ring', 'shd', 'blown', 'main')",real
28,"('boom', 'hyd', 'oil', 'pipe', 'shd')",real
29,"('bucket', 'fitting', 'coolant', 'oil')",cos
30,"('bucket', 'line', 'lube', 'damage', 'replace')",real
31,"('bolts', 'cylinder', 'pin', 'text', 'stick')",real
32,"('engine', 'oil', 'pressure', 'alarm', 'low')",real
33,"('motor', 'oil', 'slew', 'leak', 'block')",real
34,"('hose', 'replace', 'bucket', 'grease')",cos
35,"('bucket', 'cylinder', 'hose', 'hyd', 'leak')",real
36,"('pin', 'track', 'missing', 'tooth', 'stick')",sim
37,"('grease', 'line', 'pressure', 'shd', 'low')",real
38,"('bucket', 'grease', 'hose', 'pin', 'replace')",real
39,"('hose', 'boom', 'hyd', 'blown')",cos
40,"('bucket', 'replace', 'hose', 'tank')",cos
41,"('bucket', 'grease', 'line', 'pin', 'replace')",real
42,"('drive', 'fan', 'hyd', 'oil', 'leak')",real
43,"('control', 'valve', 'leak', 'stick', 'replace')",sim
